time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
32,633,20480,3.18613072,157.81,1,,,,,,,,,,,,,
97,420,40960,3.2658471500000004,158.58,2,5,-4.251811261177063,0.9976312518119812,-0.847702145576477,-0.3448103814572096,-0.33066248893737793,0.0803125,5.369432e-05,0.0001,0.007630348411621526,0.015,,
,,50000,,,,10,-4.2462021613121035,0.9955094456672668,0.45439600944519043,-0.26227675929665567,-0.24655771255493164,0.05080078125,4.1706247e-05,0.0001,0.010843695328803733,0.015,3.3081721250000005,163.75
169,363,61440,3.19688539,157.67,3,,,,,,,,,,,,,
245,333,81920,3.2407858200000006,162.07,4,15,-4.240779632329941,0.9938586354255676,0.6416481733322144,-0.18948856737464667,-0.17004922032356262,0.04876953125,3.9913582e-05,0.0001,0.011818047054111958,0.015,,
,,100000,,,,20,-4.235052525997162,0.9920516014099121,0.7662941813468933,-0.13470545537769796,-0.09375838935375214,0.056328125,4.0696494e-05,0.0001,0.012316956695867702,0.015,2.9666166250000003,146.625
313,326,102400,3.0603363999999993,151.4,5,,,,,,,,,,,,,
377,325,122880,2.9154687600000004,150.03,6,25,-4.232428239583969,0.9916583895683289,0.8179258108139038,-0.10235558304935694,-0.0972171202301979,0.0455859375,2.7040409e-05,0.0001,0.014350240060593933,0.015,,
441,325,143360,3.9673256899999996,196.33,7,30,-4.2314188456535335,0.9912848472595215,0.8519304990768433,-0.06100006511434913,-0.049535758793354034,0.058291015625,3.4711516e-05,0.0001,0.014901702557690442,0.015,,
,,150000,,,,35,-4.229594123363495,0.9908824563026428,0.8542078137397766,-0.04770802984945476,-0.014386646449565887,0.05646484375,3.431421e-05,0.0001,0.017142089707776906,0.015,2.766123125,155.0
507,322,163840,3.25403031,163.9,8,,,,,,,,,,,,,
571,322,184320,3.04698101,152.73,9,40,-4.228505455255508,0.9903709292411804,0.8684655427932739,-0.04332192860543728,-0.02073911391198635,0.05654296875,2.9857718e-05,0.0001,0.015523123580496758,0.015,,
,,200000,,,,45,-4.2269949531555175,0.9899885654449463,0.9062012434005737,-0.021330249527236448,0.017629345878958702,0.048720703125,3.135546e-05,0.0001,0.01432670392561704,0.015,4.09355925,202.5
651,314,204800,3.2304656300000003,163.22,10,,,,,,,,,,,,,
713,315,225280,3.05943012,154.58,11,50,-4.227027704715729,0.9899532198905945,0.9065661430358887,-0.018118606728094164,0.0020069312304258347,0.056748046875,3.6407997e-05,0.0001,0.014810169506818056,0.015,,
774,317,245760,3.2006481899999994,160.53,12,55,-4.226756625175476,0.990002453327179,0.894015908241272,-0.020000667062413414,-0.0021042004227638245,0.072021484375,3.8258593e-05,0.0001,0.016797337089665233,0.015,,
,,250000,,,,60,-4.228150602579117,0.9903244972229004,0.9049715995788574,-0.01921764219470788,-0.012754864990711212,0.07412109375,4.1168772e-05,0.0001,0.01462397560942918,0.015,3.609425,170.0
845,314,266240,3.1566326900000004,159.1,13,,,,,,,,,,,,,
909,315,286720,3.2384539099999996,161.72,14,65,-4.227838883399963,0.9903461337089539,0.9122776389122009,-0.0135444885873585,0.01204154547303915,0.0628125,3.603785e-05,0.0001,0.014028918494004757,0.015,,
,,300000,,,,70,-4.227855943441391,0.9902309775352478,0.9179624319076538,-0.018425083964830266,-0.015851914882659912,0.079833984375,4.0195366e-05,0.0001,0.012600425404962153,0.015,2.790066875,154.125
975,314,307200,2.9762971699999996,151.45,15,,,,,,,,,,,,,
1036,316,327680,4.0157278199999995,202.79,16,75,-4.229034967422486,0.990861713886261,0.9272180795669556,-0.008691204810893395,-0.0017872508615255356,0.084462890625,4.5049404e-05,0.0001,0.012272420759545639,0.015,,
1096,317,348160,3.1149155399999997,156.42,17,80,-4.230449393987656,0.9912235140800476,0.9212074875831604,-0.013887924103546539,-0.0021711736917495728,0.08169921875,4.387798e-05,0.0001,0.012710243158508092,0.015,,
,,350000,,,,85,-4.22963210105896,0.9909799695014954,0.9184373617172241,-0.017049996027199085,0.008823264390230179,0.09162109375,4.7848218e-05,0.0001,0.0138366414536722,0.015,2.947989375,159.25
1159,317,368640,3.94100448,198.75,18,,,,,,,,,,,,,
1219,319,389120,3.84769942,197.51,19,90,-4.2300335931777955,0.9913062453269958,0.9162166118621826,-0.02134862860402791,0.0006208065897226334,0.098291015625,4.700344e-05,0.0001,0.012853940925560891,0.015,,
,,400000,,,,95,-4.230333423614502,0.9911722540855408,0.923933207988739,-0.01814413167972816,0.0035862093791365623,0.089765625,4.470806e-05,0.0001,0.012186579105909914,0.015,3.3879772499999996,158.375
1284,319,409600,3.7848480799999993,191.99,20,,,,,,,,,,,,,
1344,319,430080,3.3435882000000006,163.9,21,100,-4.231474567651748,0.9917630553245544,0.9077891111373901,-0.012218974999123021,0.0030202455818653107,0.093046875,4.8516136e-05,0.0001,0.015986692659789695,0.015,,
,,450000,,,,105,-4.230443251132965,0.991186797618866,0.9226155281066895,-0.01710097243383643,-0.002757316455245018,0.09564453125,4.8922666e-05,0.0001,0.0131130781408865,0.015,2.660752375,139.25
1410,319,450560,3.846361419999999,198.28,22,,,,,,,,,,,,,
1472,319,471040,3.07879194,152.47,23,110,-4.2312449669837955,0.9917328357696533,0.9198639988899231,-0.0003899194697441999,0.0034236107021570206,0.10107421875,5.5149383e-05,0.0001,0.01529514157678932,0.015,,
1532,320,491520,3.3605517000000003,171.87,24,115,-4.232493535280228,0.9917392730712891,0.9231491088867188,6.550543344928884e-05,0.02344953455030918,0.099443359375,5.218418e-05,0.0001,0.012480176205281168,0.015,,
,,500000,,,,120,-4.233061679601669,0.9923078417778015,0.916448175907135,-0.009822149925894337,0.007253389805555344,0.11974609375,5.824993e-05,0.0001,0.015818419212009757,0.015,3.1743488749999997,153.75
1596,320,512000,3.4678011800000004,175.41,25,,,,,,,,,,,,,
1657,321,532480,3.94489375,196.17,26,125,-4.234134870767593,0.992518424987793,0.9305729866027832,-0.005344106441698387,0.005819989368319511,0.096708984375,4.8996626e-05,0.0001,0.013583075057249516,0.015,,
,,550000,,,,130,-4.235835635662079,0.9931855201721191,0.9265795946121216,-0.002511809006391559,0.03827254846692085,0.10994140625,5.5990542e-05,0.0001,0.012212580678751693,0.015,3.38515225,154.75
1736,318,552960,3.1464863399999996,154.98,27,,,,,,,,,,,,,
1805,317,573440,3.06266692,154.8,28,135,-4.237021151781082,0.9932613968849182,0.9209050536155701,-0.004565368182957172,0.020688636228442192,0.098017578125,5.0895498e-05,0.0001,0.01205821914365515,0.015,,
1872,317,593920,3.28115822,164.04,29,140,-4.236949867010116,0.9934203624725342,0.9238539934158325,-0.001402129027264891,0.00970161147415638,0.117666015625,6.44789e-05,0.0001,0.012266543194418772,0.015,,
,,600000,,,,145,-4.2388588809967045,0.9941336512565613,0.9146283864974976,-0.0050874616773216984,0.005200233310461044,0.1077734375,5.469115e-05,0.0001,0.013153093250002712,0.015,3.2254622499999996,169.625
1944,316,614400,3.162575,156.91,30,,,,,,,,,,,,,
2011,315,634880,3.0309709400000004,153.98,31,150,-4.240283380746842,0.9945545196533203,0.9186787605285645,-0.0015215157860075123,0.011627976782619953,0.115,5.714513e-05,0.0001,0.012137028931174427,0.015,,
