time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
27,20480,8.887061025,446.1,1,753,,,,,,,,,,,,,
103,40960,8.966905761904762,454.54761904761904,2,394,0.082626953125,-4.251570069789887,0.9973921775817871,5.8671623e-05,0.0001,0.004028146115597337,-0.5451468229293823,-0.3474847376346588,5,-0.3397086141258478,0.015,,
,50000,,,,,0.082705078125,-4.24399766087532,0.9947876930236816,5.9277234e-05,0.0001,0.003826879154366907,0.6516075134277344,-0.274109423160553,10,-0.27116286553442476,0.015,563.0,11.559691
181,61440,9.290601469999999,468.08,3,338,,,,,,,,,,,,,
259,81920,9.349130379999998,472.76,4,315,0.115078125,-4.235643647909164,0.9922879338264465,8.012749e-05,0.0001,0.003226602077484131,0.8255942463874817,-0.23009732365608215,15,-0.2230879993736744,0.015,,
,100000,,,,,0.108896484375,-4.227915952205658,0.9893937110900879,6.6940345e-05,0.0001,0.003426351491943933,0.9021944999694824,-0.17617645859718323,20,-0.17130248069763185,0.015,551.0,12.004837
341,102400,9.367109549999999,469.22,5,300,,,,,,,,,,,,,
426,122880,9.390908489999997,457.91,6,288,0.135302734375,-4.219748239517212,0.9872353672981262,7.668208e-05,0.0001,0.002978974764700979,0.9359461069107056,-0.14508843421936035,25,-0.14701431401073933,0.015,,
500,143360,9.426192200000001,451.04,7,286,0.123125,-4.213560872077942,0.9851357340812683,6.250013e-05,0.0001,0.004420272035640664,0.9499350786209106,-0.12571267783641815,30,-0.12187350265681744,0.015,,
,150000,,,,,0.16328125,-4.206045036315918,0.9828028678894043,8.8320194e-05,0.0001,0.0038632789213443176,0.961414098739624,-0.09981156140565872,35,-0.09682819159701467,0.015,528.0,12.075856
591,163840,9.55564903,457.12,8,277,,,,,,,,,,,,,
674,184320,9.356192049999999,446.37,9,273,0.154052734375,-4.200911223888397,0.9811146855354309,7.295482e-05,0.0001,0.0032510517991613595,0.9714563488960266,-0.06773266196250916,40,-0.0705825305916369,0.015,,
,200000,,,,,0.17568359375,-4.194737179279327,0.979032576084137,8.4546584e-05,0.0001,0.0041878366336459295,0.9745578169822693,-0.05683387070894241,45,-0.060012535108253356,0.015,500.0,11.699182
757,204800,9.41481452,444.15,10,270,,,,,,,,,,,,,
830,225280,9.717434990000001,447.14,11,271,0.179580078125,-4.188741471767425,0.9771696925163269,7.949521e-05,0.0001,0.004316928777261637,0.9759269952774048,-0.047907162457704544,50,-0.05062434604391455,0.015,,
883,245760,9.72307247,442.77,12,278,0.2023046875,-4.182353247404098,0.9750912189483643,9.192858e-05,0.0001,0.004268857905990444,0.9787406325340271,-0.04219184070825577,55,-0.04599349961616099,0.015,,
,250000,,,,,0.1878515625,-4.178969299793243,0.9741432666778564,7.8889694e-05,0.0001,0.004166000616387464,0.9824488759040833,-0.042112141847610474,60,-0.038102783341892064,0.015,457.0,10.878432
944,266240,9.804161220000001,442.96,13,281,,,,,,,,,,,,,
996,286720,9.88828878,441.45,14,287,0.19521484375,-4.174452463388443,0.9728595614433289,8.275048e-05,0.0001,0.003908761243801564,0.982273519039154,-0.02014448679983616,65,-0.03193869979586452,0.015,,
,300000,,,,,0.19296875,-4.171124513149262,0.9716652035713196,8.429964e-05,0.0001,0.0037941420217975975,0.984939694404602,-0.021862730383872986,70,-0.025107987532392143,0.015,439.0,10.518551
1052,307200,9.73159654,426.69,15,291,,,,,,,,,,,,,
3753,327680,9.67213748,422.84,16,87,0.191328125,-4.170179917812347,0.9715306758880615,7.493988e-05,0.0001,0.0038228134042583408,0.9845125079154968,-0.017841704189777374,75,-0.01834559511160478,0.015,,
3825,348160,9.70937978,423.15,17,91,0.213095703125,-4.170623180866241,0.9716852307319641,8.554868e-05,0.0001,0.003463286579353735,0.9867922067642212,-0.003143751062452793,80,-0.009726808514096774,0.015,,
,350000,,,,,0.214951171875,-4.169975463151932,0.9716119170188904,9.2747694e-05,0.0001,0.003735243767732754,0.9858835339546204,-0.0055205123499035835,85,-0.008593372756076861,0.015,411.0,9.956877
3913,368640,9.75616259,420.21,18,94,,,,,,,,,,,,,
3994,389120,9.66263018,414.71,19,97,0.212470703125,-4.169870004653931,0.9714226722717285,8.6963715e-05,0.0001,0.0033152425970183687,0.9881054759025574,-0.002040071878582239,90,-0.007828610052383738,0.015,,
,400000,,,,,0.2078125,-4.17073623418808,0.971851646900177,8.161766e-05,0.0001,0.0029990674566943197,0.9900959134101868,-0.0035179471597075462,95,-0.006429872359731235,0.015,395.0,9.645099
4078,409600,9.589112400000001,407.88,20,100,,,,,,,,,,,,,
4160,430080,9.385171119999999,396.68,21,103,0.2232421875,-4.17070633649826,0.9720687866210938,0.000107914544,0.0001,0.0027568551772856153,0.9906356334686279,-0.004123787395656109,100,-0.010029452676535584,0.015,,
,450000,,,,,0.214658203125,-4.171648110151291,0.9721527099609375,9.35697e-05,0.0001,0.002704858316283207,0.9910235404968262,-0.004405745770782232,105,-0.006285669658682309,0.015,378.0,9.291634
4219,450560,9.32360238,393.09,22,106,,,,,,,,,,,,,
4275,471040,9.353235029999999,391.84,23,110,0.24275390625,-4.173357826471329,0.9727854132652283,0.00010268805,0.0001,0.0026543702743947505,0.9912326335906982,0.001895285677164793,110,-0.002566556248566485,0.015,,
4331,491520,9.397915880000001,391.58,24,113,0.24537109375,-4.174850133657455,0.9731348156929016,0.000116418254,0.0001,0.0024903778315638193,0.9927200675010681,0.002511940896511078,115,-0.0023771991951798553,0.015,,
,500000,,,,,0.254140625,-4.177073811292648,0.9741424918174744,0.00013552888,0.0001,0.002301482744223904,0.9925888180732727,0.00539902038872242,120,0.003635913875987171,0.015,369.0,9.125161
4408,512000,9.450733820000002,393.89,25,116,,,,,,,,,,,,,
4496,532480,9.252362470000001,384.15,26,118,0.251923828125,-4.1814797234535215,0.9756123423576355,0.00011877847,0.0001,0.002276421189890243,0.993091881275177,0.006955903489142656,125,0.006095988266315544,0.015,,
,550000,,,,,0.252607421875,-4.1862173891067505,0.9769847989082336,0.00011336155,0.0001,0.0023136824736138804,0.9937399625778198,-0.0010234150104224682,130,0.0016222474205278559,0.015,360.0,8.93924
4581,552960,9.15036414,377.06,27,120,,,,,,,,,,,,,
4642,573440,9.13744959,377.29,28,123,0.246875,-4.18980263710022,0.9782269597053528,9.986067e-05,0.0001,0.0020129944043583235,0.9946331977844238,0.0018579852767288685,135,0.0019096631678621634,0.015,,
4715,593920,9.073956,374.09,29,125,0.279130859375,-4.195140336751938,0.9801293015480042,0.00014291683,0.0001,0.001914645308861509,0.9940459132194519,0.0058126188814640045,140,0.007843304986017756,0.015,,
,600000,,,,,0.25080078125,-4.199333162307739,0.9812583327293396,0.00013226713,0.0001,0.0017836602023453452,0.9952018857002258,0.0010936418548226357,145,0.003476113087599515,0.015,356.0,8.857943
4802,614400,8.98116308,367.91,30,127,,,,,,,,,,,,,
4866,634880,8.9532614,365.83,31,130,0.268017578125,-4.204869018793106,0.9831991791725159,0.00013773129,0.0001,0.0016983799551962874,0.9953757524490356,0.003265230916440487,150,0.004422117975482251,0.015,,
,650000,,,,,0.261640625,-4.208941420316696,0.9845897555351257,0.00014956042,0.0001,0.001626703101064777,0.9957057237625122,-0.0025783847086131573,155,0.0009640429783758009,0.015,345.0,8.637538
4955,655360,8.89178465,362.49,32,132,,,,,,,,,,,,,
5032,675840,8.76043795,356.48,33,134,0.265439453125,-4.212657032012939,0.9855601787567139,0.00012994072,0.0001,0.0016150015061430168,0.9957809448242188,-0.0030114592518657446,160,-0.0020486386051925365,0.015,,
5106,696320,8.615820889999998,349.39,34,136,0.266884765625,-4.216028500795364,0.9864385724067688,0.00013839825,0.0001,0.0014725284470478073,0.9955930113792419,-0.002837928244844079,165,-0.0006472757151641418,0.015,,
,700000,,,,,0.2807421875,-4.217976243495941,0.9872486591339111,0.00014301631,0.0001,0.001484901002550032,0.9960233569145203,-0.005681897979229689,170,-0.001545022723803413,0.015,334.0,8.418448
6066,716800,8.627981850000001,349.76,35,118,,,,,,,,,,,,,
6117,737280,8.58033567,346.66,36,120,0.278544921875,-4.2191813433170315,0.9875814914703369,0.00014357657,0.0001,0.001369184176583076,0.9961002469062805,-0.002166077494621277,175,-0.0030421854744054145,0.015,,
,750000,,,,,0.277275390625,-4.220275220870971,0.988286018371582,0.00015479593,0.0001,0.0013756172847934067,0.9963909387588501,-0.006640099920332432,180,-0.0057824439076648556,0.015,332.0,8.375155
6172,757760,8.63122835,349.08,37,122,,,,,,,,,,,,,
6224,778240,8.669925550000002,351.32,38,125,0.2879296875,-4.223951143026352,0.9895401000976562,0.00016143266,0.0001,0.001286463254946284,0.9966943860054016,-0.0051711201667785645,185,-0.0020646124449558555,0.015,,
