time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1,20480,303.45,34,6.013621866666666,589,,,,,,,,,,,,,
2,40960,309.47,101,6.134754859999999,402,0.00403996739856666,4.7074896e-05,-4.2517140519618986,5,0.0744140625,0.997671365737915,-0.46886634826660156,-0.3392627642303705,-0.3354222774505615,0.015,0.0001,,
,50000,,,,,0.0032449438236653804,4.3832115e-05,-4.246246538162231,10,0.04671875,0.9951457381248474,0.5654298067092896,-0.26916032858192923,-0.2698085904121399,0.015,0.0001,307.375,6.0287795
3,61440,309.16,175,6.150326819999999,350,,,,,,,,,,,,,
4,81920,310.17,240,6.167057690000002,340,0.0028197504495619794,4.3830798e-05,-4.239105372428894,15,0.049228515625,0.992961585521698,0.7894705533981323,-0.21222057312726975,-0.21409542858600616,0.015,0.0001,,
,100000,,,,,0.0026158713435870595,5.5477103e-05,-4.231011049747467,20,0.0712109375,0.9901601672172546,0.8801679611206055,-0.16335221845656633,-0.1658053994178772,0.015,0.0001,335.0,6.639137874999999
5,102400,303.33,314,6.05827734,325,,,,,,,,,,,,,
6,122880,299.81,382,5.990797499999998,321,0.002711597616726067,4.0552368e-05,-4.225282120704651,25,0.061337890625,0.9888725280761719,0.9154477119445801,-0.12201238188892603,-0.12594667077064514,0.015,0.0001,,
7,143360,305.8,448,6.113489960000001,319,0.0029737862970796412,3.9256945e-05,-4.220997886657715,30,0.059306640625,0.9874119758605957,0.9460762143135071,-0.09692254215478897,-0.09575330466032028,0.015,0.0001,,
,150000,,,,,0.002948664181458298,3.7270132e-05,-4.217869055271149,35,0.054541015625,0.986551821231842,0.9583891034126282,-0.07621858322061598,-0.08040887862443924,0.015,0.0001,292.75,5.806170375
8,163840,315.8,520,6.2209007199999995,315,,,,,,,,,,,,,
9,184320,317.86,586,6.27472234,314,0.0030765202664770185,3.8549297e-05,-4.2155536675453185,40,0.068623046875,0.9861205220222473,0.9697520732879639,-0.05563246014527976,-0.059005144983530045,0.015,0.0001,,
,200000,,,,,0.0024340994557132943,4.3205036e-05,-4.213325123786927,45,0.07572265625,0.985118567943573,0.9807482957839966,-0.04679236222989857,-0.044367387890815735,0.015,0.0001,335.5,6.94249475
10,204800,324.21,658,6.4290869499999985,311,,,,,,,,,,,,,
11,225280,321.09,725,6.38409106,310,0.0027029850243707187,4.7376314e-05,-4.210596021413803,50,0.093935546875,0.9845461845397949,0.980638325214386,-0.035581061472184955,-0.03646574541926384,0.015,0.0001,,
12,245760,312.13,799,6.21185921,307,0.00238100640126504,4.4271794e-05,-4.209861763715744,55,0.08708984375,0.9844247698783875,0.9847303032875061,-0.023443676175083965,-0.02587614580988884,0.015,0.0001,,
,250000,,,,,0.0022048286194331014,4.4034612e-05,-4.2115799117088315,60,0.089609375,0.9848358035087585,0.9873349666595459,-0.01958027884596959,-0.02461479976773262,0.015,0.0001,320.25,6.41478725
13,266240,307.42,873,6.007191840000001,304,,,,,,,,,,,,,
14,286720,307.2,944,6.0158103700000005,303,0.001973368268518243,4.7004643e-05,-4.2123518669605255,65,0.097431640625,0.9853683114051819,0.9895465970039368,-0.01299072353867814,-0.015302940271794796,0.015,0.0001,,
,300000,,,,,0.0020639013388426973,5.1989366e-05,-4.214577734470367,70,0.113759765625,0.9860785007476807,0.9889005422592163,-0.01145359534129966,-0.01124189980328083,0.015,0.0001,362.5,7.348308124999999
15,307200,314.82,1023,6.20141089,300,,,,,,,,,,,,,
16,327680,309.62,1089,6.145366760000001,300,0.0020376910193590446,6.0303555e-05,-4.216660956144333,75,0.128427734375,0.9868356585502625,0.9898196458816528,-0.010184982421342283,-0.010603951290249825,0.015,0.0001,,
17,348160,322.84,1159,6.378749959999999,300,0.002116329164127819,6.0443468e-05,-4.218733831644058,80,0.13685546875,0.9873846173286438,0.989113450050354,-0.011385886451462284,-0.01220332644879818,0.015,0.0001,,
,350000,,,,,0.0015944249104359188,5.826845e-05,-4.218423413038254,85,0.133076171875,0.9871478080749512,0.9932531714439392,-0.015034635420888662,-0.020622586831450462,0.015,0.0001,302.5,5.8092513750000006
